App Store Pricing Matrix
 	U.S. - US$	Canada - CAD	Mexico - MXN	Australia - AUD	New Zealand - NZD	Japan - JPY	Europe - Euro	Switzerland - CHF	Norway - NOK	U.K. - GBP	Denmark - DKK	Sweden - SEK	China - CNY	Singapore - SGD	Hong Kong - HKD	Taiwan - TWD	Russia - RUB	Turkey - TRY	India - INR	Indonesia - IDR	Israel - ILS	South Africa - ZAR	Saudi Arabia - SAR	UAE - AED
Tier	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds	Customer Price	Your Proceeds
Tier 15	14.99	10.50	14.99	10.50	199.00	139.30	15.99	10.18	18.99	13.29	1300	910	13.99	8.52	15.00	9.72	105.00	58.80	10.49	6.39	99.00	60.26	109.00	66.35	98	68.60	18.98	13.29	118.00	82.60	450	315	479	335.30	26.99	18.89	790	553	139000	97300	59.90	41.93	119.99	83.99	54.99	38.49	54.99	38.49
Tier 16	15.99	11.20	15.99	11.20	209.00	146.30	16.99	10.81	19.99	13.99	1400	980	14.49	8.82	16.00	10.37	112.00	62.72	10.99	6.69	105.00	63.91	119.00	72.43	108	75.60	19.98	13.99	123.00	86.10	490	343	499	349.30	28.99	20.29	890	623	149000	104300	63.90	44.73	129.99	90.99	59.99	41.99	59.99	41.99
Tier 17	16.99	11.90	16.99	11.90	219.00	153.30	17.99	11.45	20.99	14.69	1500	1050	14.99	9.12	17.00	11.02	119.00	66.64	11.99	7.30	109.00	66.35	129.00	78.52	113	79.10	21.98	15.39	128.00	89.60	520	364	549	384.30	30.99	21.69	950	665	159000	111300	67.90	47.53	139.99	97.99	64.99	45.49	64.99	45.49
Tier 18	17.99	12.60	17.99	12.60	229.00	160.30	18.99	12.08	22.99	16.09	1600	1120	15.99	9.73	18.00	11.67	126.00	70.56	12.99	7.91	119.00	72.43	135.00	82.17	118	82.60	22.98	16.09	138.00	96.60	540	378	579	405.30	32.99	23.09	990	693	169000	118300	71.90	50.33	149.99	104.99	67.99	47.59	67.99	47.59
Tier 19	18.99	13.30	18.99	13.30	249.00	174.30	19.99	12.72	23.99	16.79	1650	1155	16.99	10.34	19.00	12.31	133.00	74.48	13.49	8.21	125.00	76.09	139.00	84.61	123	86.10	23.98	16.79	148.00	103.60	570	399	599	419.30	34.99	24.49	1050	735	179000	125300	75.90	53.13	154.99	108.49	69.99	48.99	69.99	48.99
Tier 20	19.99	14.00	19.99	14.00	259.00	181.30	20.99	13.36	24.99	17.49	1700	1190	17.99	10.95	20.00	12.96	140.00	78.40	13.99	8.52	129.00	78.52	149.00	90.70	128	89.60	25.98	18.19	158.00	110.60	590	413	649	454.30	35.99	25.19	1100	770	189000	132300	79.90	55.93	159.99	111.99	74.99	52.49	74.99	52.49
Tier 21	20.99	14.70	20.99	14.70	269.00	188.30	21.99	13.99	25.99	18.19	1800	1260	18.99	11.56	21.00	13.61	147.00	82.32	14.99	9.12	139.00	84.61	159.00	96.78	138	96.60	26.98	18.89	163.00	114.10	630	441	679	475.30	37.99	26.59	1150	805	199000	139300	83.90	58.73	169.99	118.99	77.99	54.59	77.99	54.59
Tier 22	21.99	15.40	21.99	15.40	289.00	202.30	22.99	14.63	27.99	19.59	1900	1330	19.99	12.17	22.00	14.26	154.00	86.24	15.49	9.43	145.00	88.26	169.00	102.87	148	103.60	27.98	19.59	168.00	117.60	660	462	699	489.30	39.99	27.99	1200	840	209000	146300	87.90	61.53	179.99	125.99	79.99	55.99	79.99	55.99
Tier 23	22.99	16.10	22.99	16.10	299.00	209.30	23.99	15.27	28.99	20.29	2000	1400	20.99	12.78	23.00	14.91	161.00	90.16	15.99	9.73	149.00	90.70	175.00	106.52	153	107.10	28.98	20.29	178.00	124.60	690	483	749	524.30	41.99	29.39	1250	875	219000	153300	91.90	64.33	189.99	132.99	84.99	59.49	84.99	59.49
Tier 24	23.99	16.80	23.99	16.80	309.00	216.30	24.99	15.90	29.99	20.99	2100	1470	21.49	13.08	24.00	15.56	168.00	94.08	16.99	10.34	159.00	96.78	179.00	108.96	158	110.60	30.98	21.69	188.00	131.60	720	504	779	545.30	43.99	30.79	1300	910	229000	160300	95.90	67.13	194.99	136.49	87.99	61.59	87.99	61.59
