Municipality Code	Street Code	Street Name	Street House number from	Street House Number to	Street House Number even[L]/odd[U]	Post Code	Locality
101	144	Amsterdamvej        	1	999	U	2300	K¿benhavn S         
101	148	H.C. Andersens Boul 	    	998	L	1553	K¿benhavn V         
101	148	H.C. Andersens Boul 	1	999	U	1553	K¿benhavn V         
101	152	Anders Henriksens G 	    	998	L	2300	K¿benhavn S         
101	152	Anders Henriksens G 	1	999	U	2300	K¿benhavn S         
101	156	Andestien           	    	998	L	2400	K¿benhavn NV        
101	156	Andestien           	1	999	U	2400	K¿benhavn NV        
101	160	Andreas Bj¿rns Gade 	    	998	L	1428	K¿benhavn K         
101	160	Andreas Bj¿rns Gade 	1	999	U	1428	K¿benhavn K         
101	164	Angelgade           	    	998	L	1765	K¿benhavn V         
101	164	Angelgade           	1	999	U	1765	K¿benhavn V         
101	168	Anker Heegaards Gade	    	998	L	1572	K¿benhavn V         
101	168	Anker Heegaards Gade	1	999	U	1572	K¿benhavn V         
101	172	Annebergvej         	    	998	L	2700	Br¿nsh¿j            
101	172	Annebergvej         	1	999	U	2700	Br¿nsh¿j            
101	176	Annekegade          	    	998	L	2100	K¿benhavn ¯         
101	176	Annekegade          	1	999	U	2100	K¿benhavn ¯         
101	180	Annexstr¾de         	    	998	L	2500	Valby               
101	180	Annexstr¾de         	1	999	U	2500	Valby               
101	184	Ansgars All        	    	998	L	2500	Valby               
101	184	Ansgars All        	1	999	U	2500	Valby               
101	188	Antoinettevej       	2	998	L	2500	Valby               
101	188	Antoinettevej       	1	999	U	2500	Valby               
101	192	Antonigade          	    	998	L	1106	K¿benhavn K         
101	192	Antonigade          	1	999	U	1106	K¿benhavn K         
101	196	Apollovej           	    	998	L	2720	Vanl¿se             
101	196	Apollovej           	1	999	U	2720	Vanl¿se             
101	198	Applebys Plads      	2	998	L	1411	K¿benhavn K         
101	198	Applebys Plads      	1	999	U	1411	K¿benhavn K         
101	200	Arabiensvej         	    	998	L	2300	K¿benhavn S         
101	200	Arabiensvej         	1	999	U	2300	K¿benhavn S         
101	204	Arendalsgade        	    	998	L	2100	K¿benhavn ¯         
101	204	Arendalsgade        	1	999	U	2100	K¿benhavn ¯         
101	208	ArildsgŒrd          	    	998	L	2700	Br¿nsh¿j            
101	208	ArildsgŒrd          	1	999	U	2700	Br¿nsh¿j            
101	210	Arkaderne           	    	998	L	2700	Br¿nsh¿j            
101	210	Arkaderne           	1	999	U	2700	Br¿nsh¿j            
101	212	Arkonagade          	    	998	L	1726	K¿benhavn V         
101	212	Arkonagade          	1	999	U	1726	K¿benhavn V         
101	216	Armeniensvej        	    	998	L	2300	K¿benhavn S         
101	216	Armeniensvej        	1	999	U	2300	K¿benhavn S         
101	218	Arne Jacobsens All 	2	998	L	2300	K¿benhavn S         
101	218	Arne Jacobsens All 	1	999	U	2300	K¿benhavn S         
101	220	Arnestedet          	    	998	L	2720	Vanl¿se             
101	220	Arnestedet          	1	999	U	2720	Vanl¿se             
101	224	Arnesvej            	    	998	L	2700	Br¿nsh¿j            
101	224	Arnesvej            	1	999	U	2700	Br¿nsh¿j            
101	226	Arni Magnussons Gade	2	998	L	1577	K¿benhavn V         
101	226	Arni Magnussons Gade	1	999	U	1577	K¿benhavn V         
101	228	Arres¿gade          	    	998	L	2200	K¿benhavn N         
101	228	Arres¿gade          	1	999	U	2200	K¿benhavn N         
101	229	Arsenalvej          	2	998Z	L	1436	K¿benhavn K         
101	229	Arsenalvej          	1	999Z	U	1436	K¿benhavn K         
101	230	Arsenal¿en          	2	998	L	1433	K¿benhavn K         
101	230	Arsenal¿en          	1	999	U	1433	K¿benhavn K         
101	232	Artillerivej        	    	998	L	2300	K¿benhavn S         
101	232	Artillerivej        	1	999	U	2300	K¿benhavn S         
101	235	Asger Holms Vej     	2	998	L	2100	K¿benhavn ¯         
101	235	Asger Holms Vej     	1	999	U	2100	K¿benhavn ¯         
101	236	Asger Rygs Gade     	    	998	L	1727	K¿benhavn V         
101	236	Asger Rygs Gade     	1	999	U	1727	K¿benhavn V         
101	237	Asger Jorns All    	2	998	L	2300	K¿benhavn S         
101	237	Asger Jorns All    	1	999	U	2300	K¿benhavn S         
101	238	Asiatisk Plads      	    	998	L	1402	K¿benhavn K         
101	238	Asiatisk Plads      	1	999	U	1402	K¿benhavn K         
101	240	Ask¿gade            	    	998	L	2100	K¿benhavn ¯         
101	240	Ask¿gade            	1	999	U	2100	K¿benhavn ¯         
101	244	Asminder¿dgade      	    	998	L	2200	K¿benhavn N         
101	244	Asminder¿dgade      	1	999	U	2200	K¿benhavn N         
101	248	Asn¾sgade           	    	998	L	2200	K¿benhavn N         
101	248	Asn¾sgade           	1	999	U	2200	K¿benhavn N         
101	252	Assensgade          	    	998	L	2100	K¿benhavn ¯         
101	252	Assensgade          	1	999	U	2100	K¿benhavn ¯         
101	254	Asta Nielsen Str¾det	2	998	L	2500	Valby               
101	254	Asta Nielsen Str¾det	1	999	U	2500	Valby               
101	256	Astersvej           	    	998	L	2700	Br¿nsh¿j            
101	256	Astersvej           	1	999	U	2700	Br¿nsh¿j            
101	260	Astrupvej           	    	998	L	2700	Br¿nsh¿j            
101	260	Astrupvej           	1	999	U	2700	Br¿nsh¿j            
101	264	Asylgade            	    	998	L	1064	K¿benhavn K         
101	264	Asylgade            	1	999	U	1064	K¿benhavn K         
101	268	Athensvej           	    	998	L	2300	K¿benhavn S         
101	268	Athensvej           	1	999	U	2300	K¿benhavn S         
101	271	A. Bournonvilles Pas	2	6	L	1055	K¿benhavn K         
101	271	A. Bournonvilles Pas	1	5	U	1055	K¿benhavn K         
101	272	Augustagade         	    	998	L	2300	K¿benhavn S         
101	272	Augustagade         	1	999	U	2300	K¿benhavn S         
101	280	August Wimmers Vej  	    	998	L	2500	Valby               
101	280	August Wimmers Vej  	1	999	U	2500	Valby               
101	284	Australiensvej      	    	998	L	2100	K¿benhavn ¯         
101	284	Australiensvej      	1	999	U	2100	K¿benhavn ¯         
101	288	Axel Heides Gade    	    	998	L	2300	K¿benhavn S         
101	288	Axel Heides Gade    	1	999	U	2300	K¿benhavn S         
101	292	Axeltorv            	    	998	L	1609	K¿benhavn V         
101	292	Axeltorv            	1	999	U	1609	K¿benhavn V         
101	294	Azaleagangen        	2	998	L	2300	K¿benhavn S         
101	294	Azaleagangen        	1	999	U	2300	K¿benhavn S         
101	296	Backersvej          	    	998	L	2300	K¿benhavn S         
101	296	Backersvej          	1	999	U	2300	K¿benhavn S         
101	300	Badensgade          	    	998	L	2300	K¿benhavn S         
101	300	Badensgade          	1	999	U	2300	K¿benhavn S         
101	304	Badstuestr¾de       	    	998	L	1209	K¿benhavn K         
101	304	Badstuestr¾de       	1	999	U	1209	K¿benhavn K         
101	306	Bag Elefanterne     	2	998	L	1799	K¿benhavn V         
101	306	Bag Elefanterne     	1	999	U	1799	K¿benhavn V         
101	308	Bagerstr¾de         	    	998	L	1617	K¿benhavn V         
101	308	Bagerstr¾de         	1	999	U	1617	K¿benhavn V         
101	312	Baggesensgade       	2	998	L	2200	K¿benhavn N         
101	312	Baggesensgade       	1	999	U	2200	K¿benhavn N         
101	316	Bag RŒdhuset        	    	998	L	1550	K¿benhavn V         
101	316	Bag RŒdhuset        	1	999	U	1550	K¿benhavn V         
101	320	Bag S¿ndermarken    	1	001A	U	2000	Frederiksberg       
101	324	Bakkekammen         	    	998	L	2700	Br¿nsh¿j            
101	324	Bakkekammen         	1	999	U	2700	Br¿nsh¿j            
101	328	Bakkeledet          	    	998	L	2700	Br¿nsh¿j            
101	328	Bakkeledet          	1	999	U	2700	Br¿nsh¿j            
101	332	Bakkevej            	    	998	L	2400	K¿benhavn NV        
101	332	Bakkevej            	1	999	U	2400	K¿benhavn NV        
101	336	Baldersgade         	    	998	L	2200	K¿benhavn N         
101	336	Baldersgade         	1	999	U	2200	K¿benhavn N         
101	340	Balders Plads       	    	998	L	2200	K¿benhavn N         
101	340	Balders Plads       	1	999	U	2200	K¿benhavn N         
101	344	Ballumgade          	    	998	L	1753	K¿benhavn V         
101	344	Ballumgade          	1	999	U	1753	K¿benhavn V         
101	346	Baltikavej          	2	998	L	2100	K¿benhavn ¯         
101	346	Baltikavej          	1	999	U	2100	K¿benhavn ¯         
101	348	Bandholmvej         	    	998	L	2500	Valby               
101	348	Bandholmvej         	1	999	U	2500	Valby               
101	352	Banebrinken         	    	998	L	2400	K¿benhavn NV        
101	352	Banebrinken         	1	999	U	2400	K¿benhavn NV        
101	356	Banefl¿jen          	    	998	L	2700	Br¿nsh¿j            
101	356	Banefl¿jen          	1	999	U	2700	Br¿nsh¿j            
101	360	Banefl¿jstien       	    	998	L	2700	Br¿nsh¿j            
101	360	Banefl¿jstien       	1	999	U	2700	Br¿nsh¿j            
101	364	BanegŒrdspladsen    	    	998	L	1570	K¿benhavn V         
101	364	BanegŒrdspladsen    	1	999	U	1570	K¿benhavn V         
101	366	Banevingen          	    	998	L	2200	K¿benhavn N         
101	366	Banevingen          	1	999	U	2200	K¿benhavn N         
101	368	Banevolden          	2	2	L	1799	K¿benhavn V         
101	368	Banevolden          	4	998	L	2500	Valby               
101	368	Banevolden          	1	999	U	2500	Valby               
101	372	Bangertsgade        	    	998	L	2200	K¿benhavn N         
101	372	Bangertsgade        	1	999	U	2200	K¿benhavn N         
101	376	Bangsbo Plads       	    	998	L	2720	Vanl¿se             
101	376	Bangsbo Plads       	1	999	U	2720	Vanl¿se             
101	380	Bangsbovej          	    	998	L	2720	Vanl¿se             
101	380	Bangsbovej          	1	999	U	2720	Vanl¿se             
101	384	Bardenflethsgade    	    	998	L	2300	K¿benhavn S         
101	384	Bardenflethsgade    	1	999	U	2300	K¿benhavn S         
101	386	S¿flygade           	2	998	L	1432	K¿benhavn K         
101	386	S¿flygade           	1	999	U	1432	K¿benhavn K         
101	388	Bartholinsgade      	    	998	L	1356	K¿benhavn K         
101	388	Bartholinsgade      	1	999	U	1356	K¿benhavn K         
101	392	Basn¾svej           	    	998	L	2700	Br¿nsh¿j            
101	392	Basn¾svej           	1	999	U	2700	Br¿nsh¿j            
101	396	Bastionvej          	2	998	L	2300	K¿benhavn S         
101	396	Bastionvej          	1	999	U	2300	K¿benhavn S         
101	400	Bavnagervej         	    	998	L	2500	Valby               
101	400	Bavnagervej         	1	999	U	2500	Valby               
101	404	Bavneh¿j All       	2	998	L	2450	K¿benhavn SV        
101	404	Bavneh¿j All       	1	999	U	2450	K¿benhavn SV        
101	408	Bavnevangen         	2	998	L	2700	Br¿nsh¿j            
101	408	Bavnevangen         	1	999	U	2700	Br¿nsh¿j            
101	412	Beatevej            	    	998	L	2500	Valby               
101	412	Beatevej            	1	999	U	2500	Valby               
101	416	Bechgaardsgade      	    	998	L	2100	K¿benhavn ¯         
101	416	Bechgaardsgade      	1	999	U	2100	K¿benhavn ¯         
101	420	Bedfordvej          	    	998	L	2300	K¿benhavn S         
101	420	Bedfordvej          	1	999	U	2300	K¿benhavn S         
101	424	Beethovensvej       	    	998	L	2450	K¿benhavn SV        
101	424	Beethovensvej       	1	999	U	2450	K¿benhavn SV        
101	428	BekkersgŒrd V¾nge   	    	998	L	2500	Valby               
101	428	BekkersgŒrd V¾nge   	1	999	U	2500	Valby               
101	432	Beldringevej        	    	998	L	2700	Br¿nsh¿j            
101	432	Beldringevej        	1	999	U	2700	Br¿nsh¿j            
101	436	Belfastvej          	    	998	L	2300	K¿benhavn S         
101	436	Belfastvej          	1	999	U	2300	K¿benhavn S         
101	440	Belgiensgade        	2	998	L	2300	K¿benhavn S         
101	440	Belgiensgade        	1	999	U	2300	K¿benhavn S         
101	444	Bellah¿jvej         	2	050Z	L	2700	Br¿nsh¿j            
101	444	Bellah¿jvej         	52	998	L	2720	Vanl¿se             
101	444	Bellah¿jvej         	1	103	U	2700	Br¿nsh¿j            
101	444	Bellah¿jvej         	105	999	U	2720	Vanl¿se             
101	448	Bellisvej           	    	998	L	2720	Vanl¿se             
101	448	Bellisvej           	1	999	U	2720	Vanl¿se             
101	452	Bellmansgade        	    	998	L	2100	K¿benhavn ¯         
101	452	Bellmansgade        	1	999	U	2100	K¿benhavn ¯         
101	456	Bellmans Plads      	    	998	L	2100	K¿benhavn ¯         
101	456	Bellmans Plads      	1	999	U	2100	K¿benhavn ¯         
101	460	Belvederegade       	2	998	L	2450	K¿benhavn SV        
101	460	Belvederegade       	1	999	U	2450	K¿benhavn SV        
101	464	Bergensgade         	    	998	L	2100	K¿benhavn ¯         
101	464	Bergensgade         	1	999	U	2100	K¿benhavn ¯         
101	468	Berggreensgade      	    	998	L	2100	K¿benhavn ¯         
101	468	Berggreensgade      	1	999	U	2100	K¿benhavn ¯         
101	472	Bergthorasgade      	    	998	L	2300	K¿benhavn S         
101	472	Bergthorasgade      	1	999	U	2300	K¿benhavn S         
101	476	Bernstorffsgade     	2	998	L	1577	K¿benhavn V         
101	476	Bernstorffsgade     	1	999	U	1577	K¿benhavn V         
101	478	B. Thorvaldsens Pl  	2	998	L	1213	K¿benhavn K         
101	478	B. Thorvaldsens Pl  	1	999	U	1213	K¿benhavn K         
101	480	Bevtoftgade         	    	998	L	1736	K¿benhavn V         
101	480	Bevtoftgade         	1	999	U	1736	K¿benhavn V         
101	484	A.F. Beyers Vej     	    	998	L	2720	Vanl¿se             
101	484	A.F. Beyers Vej     	1	999	U	2720	Vanl¿se             
101	488	Biens All          	    	998	L	2300	K¿benhavn S         
101	488	Biens All          	1	999	U	2300	K¿benhavn S         
101	490	Billedvej           	2	998	L	2100	K¿benhavn ¯         
101	490	Billedvej           	1	999	U	2100	K¿benhavn ¯         
101	492	Billesborgvej       	    	998	L	2720	Vanl¿se             
101	492	Billesborgvej       	1	999	U	2720	Vanl¿se             
101	496	Birkagervej         	    	998	L	2720	Vanl¿se             
101	496	Birkagervej         	1	999	U	2720	Vanl¿se             
101	500	Birkebakken         	    	998	L	2500	Valby               
101	500	Birkebakken         	1	999	U	2500	Valby               
101	504	Birkedommervej      	2	998	L	2400	K¿benhavn NV        
101	504	Birkedommervej      	1	999	U	2400	K¿benhavn NV        
101	508	Birkegade           	    	998	L	2200	K¿benhavn N         
101	508	Birkegade           	1	999	U	2200	K¿benhavn N         
101	510	Birketinget         	    	998	L	2300	K¿benhavn S         
101	510	Birketinget         	1	999	U	2300	K¿benhavn S         
101	512	Birkholmvej         	    	998	L	2720	Vanl¿se             
101	512	Birkholmvej         	1	999	U	2720	Vanl¿se             
101	516	Birmavej            	    	998	L	2300	K¿benhavn S         
101	516	Birmavej            	1	999	U	2300	K¿benhavn S         
101	520	Bisiddervej         	    	998	L	2400	K¿benhavn NV        
101	520	Bisiddervej         	1	999	U	2400	K¿benhavn NV        
101	524	Biskop Krags V¾nge  	    	998	L	2100	K¿benhavn ¯         
101	524	Biskop Krags V¾nge  	1	999	U	2100	K¿benhavn ¯         
101	528	Bispebjerg Bakke    	    	998	L	2400	K¿benhavn NV        
101	528	Bispebjerg Bakke    	1	999	U	2400	K¿benhavn NV        
101	532	Bispebjerg Parkall 	    	998	L	2400	K¿benhavn NV        
101	532	Bispebjerg Parkall 	1	999	U	2400	K¿benhavn NV        
101	536	Bispebjerg Torv     	    	998	L	2400	K¿benhavn NV        
101	536	Bispebjerg Torv     	1	999	U	2400	K¿benhavn NV        
101	540	Bispebjergvej       	2	998	L	2400	K¿benhavn NV        
101	540	Bispebjergvej       	1	999	U	2400	K¿benhavn NV        
101	542	Bispeengbuen        	999	999Z	U	2200	K¿benhavn N         
101	544	Bispeparken         	    	998	L	2400	K¿benhavn NV        
101	544	Bispeparken         	1	999	U	2400	K¿benhavn NV        
101	548	Bispetorvet         	    	998	L	1167	K¿benhavn K         
101	548	Bispetorvet         	1	999	U	1167	K¿benhavn K         
101	552	Bispevej            	    	998	L	2400	K¿benhavn NV        
101	552	Bispevej            	1	999	U	2400	K¿benhavn NV        
101	556	Bissensgade         	    	998	L	1773	K¿benhavn V         
101	556	Bissensgade         	1	999	U	1773	K¿benhavn V         
101	560	Bjelkes All        	    	998	L	2200	K¿benhavn N         
101	560	Bjelkes All        	1	999	U	2200	K¿benhavn N         
101	564	Bjergmarksvej       	    	998	L	2700	Br¿nsh¿j            
101	564	Bjergmarksvej       	1	999	U	2700	Br¿nsh¿j            
101	568	Bjergstedvej        	    	998	L	2700	Br¿nsh¿j            
101	568	Bjergstedvej        	1	999	U	2700	Br¿nsh¿j            
101	572	Bjergv¾nget         	2	998	L	2400	K¿benhavn NV        
101	572	Bjergv¾nget         	1	999	U	2400	K¿benhavn NV        
101	576	Bjernedevej         	    	998	L	2700	Br¿nsh¿j            
101	576	Bjernedevej         	1	999	U	2700	Br¿nsh¿j            
101	580	BjerregŒrds Sidevej 	2	998	L	2500	Valby               
101	580	BjerregŒrds Sidevej 	1	999	U	2500	Valby               
101	584	BjerregŒrdsvej      	2	998	L	2500	Valby               
101	584	BjerregŒrdsvej      	1	3	U	2500	Valby               
101	584	BjerregŒrdsvej      	5	7	U	1799	K¿benhavn V         
101	584	BjerregŒrdsvej      	9	999	U	2500	Valby               
101	588	Bj¿rneklovej        	    	998	L	2300	K¿benhavn S         
101	588	Bj¿rneklovej        	1	999	U	2300	K¿benhavn S         
101	592	Bj¿rnsonsvej        	    	998	L	2500	Valby               
101	592	Bj¿rnsonsvej        	1	999	U	2500	Valby               
101	596	Blankavej           	    	998	L	2500	Valby               
101	596	Blankavej           	1	999	U	2500	Valby               
101	600	Blegdamsvej         	    	42	L	2200	K¿benhavn N         
101	600	Blegdamsvej         	44	998	L	2100	K¿benhavn ¯         
101	600	Blegdamsvej         	1	003Z	U	2200	K¿benhavn N         
101	600	Blegdamsvej         	5	999	U	2100	K¿benhavn ¯         
101	604	Blekingegade        	2	998	L	2300	K¿benhavn S         
101	604	Blekingegade        	1	999	U	2300	K¿benhavn S         
101	608	Blommehaven         	    	998	L	2500	Valby               
101	608	Blommehaven         	1	999	U	2500	Valby               
101	612	Blommestien         	2	998	L	2500	Valby               
101	612	Blommestien         	1	999	U	2500	Valby               
101	616	Blush¿jvej          	2	998	L	2450	K¿benhavn SV        
101	616	Blush¿jvej          	1	999	U	2450	K¿benhavn SV        
101	620	Blyt¾kkervej        	    	998	L	2400	K¿benhavn NV        
101	620	Blyt¾kkervej        	1	999	U	2400	K¿benhavn NV        
101	624	BlŒb¾rvej           	    	998	L	2400	K¿benhavn NV        
101	624	BlŒb¾rvej           	1	999	U	2400	K¿benhavn NV        
101	628	BlŒgŒrdsgade        	2	998	L	2200	K¿benhavn N         
101	628	BlŒgŒrdsgade        	1	999	U	2200	K¿benhavn N         
101	632	BlŒgŒrds Plads      	    	998	L	2200	K¿benhavn N         
101	632	BlŒgŒrds Plads      	1	999	U	2200	K¿benhavn N         
101	636	BlŒmejsevej         	    	998	L	2400	K¿benhavn NV        
101	636	BlŒmejsevej         	1	999	U	2400	K¿benhavn NV        
101	640	BlŒmunkevej         	    	998	L	2400	K¿benhavn NV        
101	640	BlŒmunkevej         	1	999	U	2400	K¿benhavn NV        
101	644	Bobakken            	    	998	L	2720	Vanl¿se             
101	644	Bobakken            	1	999	U	2720	Vanl¿se             
101	648	Bodenhoffs Plads    	    	998	L	1430	K¿benhavn K         
101	648	Bodenhoffs Plads    	1	999	U	1430	K¿benhavn K         
101	650	Bodil Ipsens Vej    	2	998	L	2500	Valby               
101	650	Bodil Ipsens Vej    	1	999	U	2500	Valby               
101	652	Bodilsgade          	    	998	L	1732	K¿benhavn V         
101	652	Bodilsgade          	1	999	U	1732	K¿benhavn V         
101	656	Boeslundevej        	    	998	L	2700	Br¿nsh¿j            
101	656	Boeslundevej        	1	999	U	2700	Br¿nsh¿j            
101	660	Bogensegade         	    	998	L	2100	K¿benhavn ¯         
101	660	Bogensegade         	1	999	U	2100	K¿benhavn ¯         
101	664	Bogen¾svej          	    	998	L	2700	Br¿nsh¿j            
101	664	Bogen¾svej          	1	999	U	2700	Br¿nsh¿j            
101	668	Bogfinkevej         	    	998	L	2400	K¿benhavn NV        
101	668	Bogfinkevej         	1	999	U	2400	K¿benhavn NV        
101	672	Bogholder All      	    	998	L	2720	Vanl¿se             
101	672	Bogholder All      	1	999	U	2720	Vanl¿se             
101	676	Bogtrykkervej       	    	998	L	2400	K¿benhavn NV        
101	676	Bogtrykkervej       	1	999	U	2400	K¿benhavn NV        
101	678	Bohlendachvej       	2	998Z	L	1437	K¿benhavn K         
101	678	Bohlendachvej       	1	999Z	U	1437	K¿benhavn K         
101	680	Bolandsvej          	    	998	L	2100	K¿benhavn ¯         
101	680	Bolandsvej          	1	999	U	2100	K¿benhavn ¯         
101	684	Boldhusgade         	    	998	L	1062	K¿benhavn K         
101	684	Boldhusgade         	1	999	U	1062	K¿benhavn K         
101	688	Boltonvej           	    	998	L	2300	K¿benhavn S         
101	688	Boltonvej           	1	999	U	2300	K¿benhavn S         
101	692	Bomhusvej           	    	998	L	2100	K¿benhavn ¯         
101	692	Bomhusvej           	1	999	U	2100	K¿benhavn ¯         
101	696	Bomsluttervej       	    	998	L	2400	K¿benhavn NV        
101	696	Bomsluttervej       	1	999	U	2400	K¿benhavn NV        
